74.1855	WARNING	t of last frame was 33.78ms (=1/29)
74.9674	DATA	version E
151.1259	DATA	Keypress: space
154.2138	DATA	Keypress: v
154.2301	DATA	Keypress:v held
154.2301	DATA	earn v
156.5780	DATA	Keypress: v
156.6111	DATA	Keypress:v held
157.4726	DATA	Keypress: v
157.6243	DATA	Keypress:v held
158.5369	DATA	Keypress: v
158.6375	DATA	Keypress:v held
159.1449	DATA	Keypress: v
159.6508	DATA	Keypress:v held
159.6515	DATA	Keypress: v
160.1073	DATA	Keypress: v
160.5466	DATA	Keypress: v
160.6640	DATA	Keypress:v held
160.9517	DATA	Keypress: v
161.3571	DATA	Keypress: v
161.6772	DATA	Keypress:v held
162.9108	DATA	Keypress: t
162.9437	DATA	Keypress:t held
163.3835	DATA	Keypress: t
163.8228	DATA	Keypress: t
163.9569	DATA	Keypress:t held
164.2617	DATA	Keypress: t
164.6837	DATA	Keypress: t
164.9701	DATA	Keypress:t held
165.1059	DATA	Keypress: t
165.5112	DATA	Keypress: t
165.9163	DATA	Keypress: t
165.9834	DATA	Keypress:t held
165.9834	DATA	earn t
166.3053	DATA	Keypress: t
170.0200	DATA	Keypress: t
170.0531	DATA	Keypress:t held
170.4760	DATA	Keypress: t
171.0165	DATA	Keypress: t
171.0662	DATA	Keypress:t held
171.4894	DATA	Keypress: t
171.9791	DATA	Keypress: t
172.0796	DATA	Keypress:t held
172.0796	DATA	earn t
174.1576	DATA	Keypress: v
174.1906	DATA	Keypress:v held
174.6133	DATA	Keypress: v
175.0352	DATA	Keypress: v
175.2038	DATA	Keypress:v held
175.4578	DATA	Keypress: v
175.8798	DATA	Keypress: v
176.2170	DATA	Keypress:v held
177.7037	DATA	Keypress: v
177.7368	DATA	Keypress:v held
178.2440	DATA	Keypress: v
178.7500	DATA	Keypress:v held
178.7508	DATA	Keypress: v
179.2417	DATA	Keypress: v
179.7299	DATA	Keypress: v
179.7632	DATA	Keypress:v held
180.2030	DATA	Keypress: v
180.6757	DATA	Keypress: v
180.7764	DATA	Keypress:v held
181.1316	DATA	Keypress: v
181.6046	DATA	Keypress: v
181.7897	DATA	Keypress:v held
182.0097	DATA	Keypress: v
182.4658	DATA	Keypress: v
182.8029	DATA	Keypress:v held
182.9220	DATA	Keypress: v
183.3947	DATA	Keypress: v
183.8161	DATA	Keypress:v held
183.8674	DATA	Keypress: v
184.3067	DATA	Keypress: v
184.8133	DATA	Keypress: v
184.8462	DATA	Keypress:v held
185.2691	DATA	Keypress: v
185.8594	DATA	Keypress:v held
187.2787	DATA	Keypress: t
187.3117	DATA	Keypress:t held
187.6839	DATA	Keypress: t
188.0889	DATA	Keypress: t
188.3250	DATA	Keypress:t held
188.4776	DATA	Keypress: t
188.8997	DATA	Keypress: t
189.3053	DATA	Keypress: t
189.3382	DATA	Keypress:t held
189.7272	DATA	Keypress: t
190.1496	DATA	Keypress: t
190.3515	DATA	Keypress:t held
190.5377	DATA	Keypress: t
190.9429	DATA	Keypress: t
191.3647	DATA	Keypress:t held
191.3647	DATA	earn t
191.3653	DATA	Keypress: t
193.1048	DATA	Keypress: t
193.4418	DATA	Keypress:t held
193.5605	DATA	Keypress: t
193.9659	DATA	Keypress: t
194.3879	DATA	Keypress: t
194.4550	DATA	Keypress:t held
194.4550	DATA	earn t
194.8103	DATA	Keypress: t
195.8910	DATA	Keypress: t
196.3132	DATA	Keypress: t
196.5321	DATA	Keypress:t held
196.7352	DATA	Keypress: t
197.1576	DATA	Keypress: t
197.5453	DATA	Keypress:t held
197.6642	DATA	Keypress: t
198.1371	DATA	Keypress: t
198.5585	DATA	Keypress:t held
199.6570	DATA	Keypress: v
199.6900	DATA	Keypress:v held
200.0959	DATA	Keypress: v
200.5520	DATA	Keypress: v
200.7201	DATA	Keypress:v held
200.7201	DATA	earn v
200.9742	DATA	Keypress: v
201.7172	DATA	Keypress: v
202.2744	DATA	Keypress: v
202.7977	DATA	Keypress: v
202.8140	DATA	Keypress:v held
203.2540	DATA	Keypress: v
203.7097	DATA	Keypress: v
203.8272	DATA	Keypress:v held
204.1996	DATA	Keypress: v
204.6217	DATA	Keypress: v
204.8404	DATA	Keypress:v held
205.0774	DATA	Keypress: v
205.5335	DATA	Keypress: v
